pertanyaan,jawaban
Bagaimana cara membuat conda environment di aleleon?,"Selamat pagi dan terima kasih banyak telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami sangat senang dapat membantu Anda dalam membuat Conda Environment. Berikut adalah langkah-langkah resmi untuk membuat Conda Environment di sistem ALELEON:

1. Buka terminal ALELEON melalui opsi Login SSH atau menu Clusters > Aleleon Shell Access pada EFIRO Web Service.
2. Aktifkan modul Anaconda yang diinginkan dengan perintah `module load` sesuai versi yang tersedia, misalnya:
   - $ module load Anaconda3/2024.02-1 (untuk Python 3.11.7)
   - $ module load Anaconda3/2025.06-1 (untuk Python 3.13.4)
   *Catatan: Hindari menggunakan Anaconda3/2024.06-1 karena terdapat banyak laporan bug.*
3. Buat Conda Environment kosong dengan format perintah berikut:
   $ conda create -n [nama-env] python=[versi-python]
   Contoh pembuatan environment bernama ""skripsi"" dengan Python 3.12:
   $ conda create -n skripsi python=3.12
4. Setelah environment dibuat, aktifkan environment tersebut dengan perintah:
   $ source activate [nama-env]
5. Untuk memudahkan aktivasi di sesi berikutnya, buat modul pyl dengan menjalankan:
   (env) $ pyl mod
   Kemudian ikuti alur script yang muncul dengan memilih menu no.1.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan Conda Environment atau komputasi lainnya di ALELEON?"
bagaimana cara menjalankan jupyter dengan conda environment sendiri?,"Halo! Terima kasih banyak telah menghubungi layanan dukungan HPC Aleleon Supercomputer; saya sangat senang dapat membantu Anda dalam menjalankan sesi Jupyter menggunakan Conda Environment pribadi.

Berikut adalah langkah-langkah lengkap untuk menjalankan Jupyter dengan Conda Environment sendiri berdasarkan panduan sistem:

1.  **Login ke Web Service**
    Masuk ke [EFIRO Web Service] ALELEON Supercomputer melalui browser Anda.

2.  **Persiapan File dan Instalasi Package (Opsional tapi Disarankan)**
    Untuk efisiensi waktu, sebaiknya lengkapi instalasi package sebelum memulai sesi interaktif agar tidak memakan waktu saat sesi berjalan.
    *   Buka menu **Clusters > Aleleon Shell Access**.
    *   Muat modul Anaconda yang sesuai (contoh versi TRIAL):
        ```bash
        $ module load Anaconda3/2024.02-1
        ```
    *   Aktifkan Conda Environment Anda dengan perintah `source` (ganti `[nama-conda-env]` dengan nama environment Anda):
        ```bash
        $ source activate [nama-conda-env]
        ```
    *   Jika lupa nama environment, cari dengan perintah:
        ```bash
        $ conda env list
        ```
    *   Instal package yang dibutuhkan (misalnya Jupyter) di dalam terminal tersebut:
        ```bash
        (env) $ pip install jupyter jupyterlab
        ```
    *   Setelah selesai, Anda bisa menonaktifkan environment dengan:
        ```bash
        (env) $ conda deactivate
        ```

3.  **Mengisi Formulir Sesi Jupyter**
    *   Klik menu **Interactive Apps > Jupyter** atau klik aplikasi **Jupyter** di homepage EFIRO.
    *   Isi formulir berikut:
        *   **Choose how to launch Jupyter**: Pilih **Anaconda / Mamba**.
        *   **Choose Anaconda/Mamba version**: Pilih versi yang digunakan untuk membuat conda env user Anda (misalnya **Anaconda 3 2024.02-1**).
        *   **User provided Conda/Mamba environment**: Masukkan nama folder conda env user Anda. Cari path-nya di `.conda/envs`.
            *   *Catatan*: Untuk memastikan nama modul pyl yang benar jika menggunakan modul pyl, buka menu **Clusters > Aleleon Shell Access**, lalu jalankan `$ pyl info [nama-modul]` untuk melihat info modul.
        *   **Partition**: Pilih sesuai kebutuhan hardware (misalnya **torti** untuk CPU atau **tilla** untuk GPU).
        *   **Number of CPU thread(s)**: Masukkan jumlah core CPU (rentang 2 - 16 untuk akun uji coba, atau 1 - 32 untuk akun perseorangan).
        *   **Amount of memory/RAM (GB)**: Masukkan alokasi RAM (rentang 1 - 55 GB untuk akun uji coba, atau 1 - 64 GB untuk akun perseorangan).
        *   **Number of GPUs**: Isi angka **1** jika memilih partition GPU (**tilla**).
        *   **Number of hours**: Tentukan durasi sesi (rentang 1 - 24 jam untuk akun uji coba, atau 1 - 72 jam untuk akun perseorangan).
        *   **Software Modules**: Isi nama modul software tambahan jika diperlukan (misalnya modul CUDA jika tidak ada di conda env).
        *   **Email address**: Isi jika ingin menerima notifikasi status sesi.

4.  **Memulai Sesi**
    *   Klik tombol **[Launch]**.
    *   Anda akan diarahkan ke halaman **My Interactive Sessions**.
    *   Tunggu hingga status berubah menjadi **Running**.

5.  **Mengakses Jupyter**
    *   Ketika status sudah **Running**, klik tombol **[Connect to Jupyter]**.
    *   Sistem mulai menghitung Core Hour.
    *   Gunakan kernel **Python 3 (ipykernel)** untuk sesi Notebook.

6.  **Menjalankan Komputasi dan Mengunduh Output**
    *   Sesi akan terus berjalan selama waktu sesi masih tersedia, bahkan jika koneksi terputus atau Anda keluar dari web.
    *   Untuk menghentikan sesi, klik tombol **[Cancel]**.
    *   Untuk mengunduh file output, gunakan fitur bawaan JupyterLab, menu **Files > Home Directory** di [EFIRO Web Service], atau gunakan aplikasi [SFTP].

Apakah ada hal lain yang ingin Anda tanyakan mengenai konfigurasi ini?"
Versi Python default dari Anaconda3 2025.06-1 apa?,"Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, sangat senang dapat membantu Anda!

Berdasarkan dokumen referensi yang tersedia, versi Python bawaan (default) dari modul **Anaconda3 2025.06-1** adalah **3.13.4**.

Berikut adalah rincian spesifikasinya sesuai tabel pada dokumen:
1. Nama Modul Lmod: Anaconda3/2025.06-1
2. Versi Python Default: 3.13.4
3. Perintah Mengaktifkan: $ ml Anaconda3/2025.06-1

Apakah ada hal lain yang ingin Anda tanyakan mengenai konfigurasi atau penggunaan lingkungan Python di ALELEON?"
Perintah apa untuk mengaktifkan Mamba 23.11.0-0?,"Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami siap membantu Anda.

Berdasarkan dokumen referensi, perintah untuk mengaktifkan modul Mamba versi 23.11.0-0 adalah:
1. $ ml Mamba/23.11.0-0"
Bagaimana cara membuat modul pyload setelah conda env aktif?,"Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami siap membantu Anda dalam mengelola lingkungan komputasi Python.

Berdasarkan panduan yang tersedia, berikut adalah langkah-langkah untuk membuat modul `pyl` (yang disebut sebagai `pyload` dalam beberapa konteks manajemen) setelah conda environment aktif:

1. Pastikan Anda sudah mengaktifkan conda env dengan perintah `source activate [nama-env]`.
2. Jalankan perintah untuk membuat modul pyl di dalam terminal:
   ```bash
   (env) $ pyl mod
   ```
3. Ikuti alur instruksi yang muncul pada layar, biasanya dimulai dengan memilih menu nomor 1.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan Conda Environment atau modul pyl di ALELEON?"
Perintah apa untuk melihat daftar modul pyload yang tersedia?,"Halo! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Kami sangat senang dapat membantu Anda dalam mengelola lingkungan komputasi Anda.

Untuk melihat daftar modul `pyl` (pyload) yang tersedia, silakan gunakan perintah berikut di terminal:

1. Jalankan perintah `$ pyl list`.
2. Perhatikan bagian output yang bertuliskan **USER-DEFINED** untuk melihat modul yang telah didefinisikan oleh pengguna.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan sistem atau software di ALELEON?"
Di partisi GPU mana batch job conda berjalan?,"Selamat siang! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Saya sangat senang dapat membantu Anda mengenai pertanyaan terkait alokasi partisi GPU untuk batch job Conda Environment.

Berdasarkan dokumen referensi, batch job Conda Environment yang berjalan dengan akselerasi GPU dialokasikan pada partisi **ampere**. Hal ini terlihat jelas pada contoh template submit script versi GPU di mana terdapat perintah:
1. `#SBATCH --partition=ampere`

Perintah ini secara spesifik mendefinisikan bahwa job tersebut harus dijalankan di partisi GPU bernama ""ampere"". Selain itu, dokumen juga menyebutkan bahwa akun uji coba memiliki batas alokasi maksimal 1 unit GPU untuk partisi ini.

Apakah ada hal lain yang ingin Anda tanyakan mengenai konfigurasi atau penggunaan batch job?"
Apa email support admin ALELEON?,"Selamat pagi dan salam hangat dari tim support ALELEON Supercomputer! Terima kasih telah menghubungi layanan kami, kami sangat senang dapat membantu Anda.

Berdasarkan informasi yang tersedia di sistem, alamat email untuk menghubungi tim admin support ALELEON adalah **support@efisonlt.com**.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan atau dukungan teknis ALELEON?"
Jam kerja support EFISON kapan?,"Pertanyaan anda tidak relevan, silahkan coba dengan pertanyaan lain yang berkaitan dengan layanan ALELEON HPC."
Apa saja pilihan cara menjalankan komputasi Python dengan conda env di ALELEON?,"Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, saya siap membantu Anda.

Berdasarkan dokumentasi sistem, berikut adalah pilihan cara menjalankan komputasi Python dengan conda environment di ALELEON:

1. **Batch Job**
   - Berjalan di **Compute Node**.
   - Digunakan untuk menjalankan script Python yang tidak membutuhkan interaksi user (file `.ipynb` harus dikonversi ke file `.py`).
   - Partisi yang tersedia: **epyc** (CPU) dan **ampere** (GPU).
   - Job akan berhenti ketika program selesai, menyentuh limit waktu, atau mengalami error. Koneksi user tidak mempengaruhi jalannya job.

2. **Sesi Jupyter**
   - Berjalan di **Interactive Node**.
   - Digunakan untuk menjalankan sesi interaktif Jupyter Lab atau Notebook.
   - Partisi yang tersedia: **torti** dan **tilla**.
   - Sesi akan berhenti ketika waktu habis, dihentikan manual oleh user, atau mengalami error. Koneksi user tidak mempengaruhi jalannya sesi meskipun cell sedang berjalan saat log out.

Apakah ada hal lain yang ingin Anda tanyakan mengenai panduan ini?"
Apa perbedaan antara menjalankan batch job via Job Composer EWS dan via terminal Slurm?,"Selamat pagi! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami sangat senang dapat membantu Anda.

Berdasarkan dokumen referensi yang tersedia, perbedaan utama antara menjalankan batch job melalui **Job Composer EWS** dan **terminal Slurm** terletak pada antarmuka pengguna (UI/UX) dan alur kerjanya, namun tidak ada perbedaan dalam hal performa komputasi.

Berikut adalah rincian perbedaannya:

1.  **Antarmuka dan Cara Akses**:
    *   **Job Composer EWS**: Menjalankan komputasi melalui tampilan grafis di [EFIRO Web Service] dengan menu Jobs > Job Composer.
    *   **Terminal Slurm**: Menjalankan komputasi langsung melalui terminal Linux (misalnya via Login SSH atau Aleleon Shell Access) menggunakan perintah `sbatch`.

2.  **Performa Komputasi**:
    *   Dokumen secara eksplisit menyatakan bahwa ""Perbedaan di tampilan dan alur kerja (UI/UX), tidak ada perbedaan performa."" Kedua metode akan menjalankan komputasi sebagai job ke compute node oleh Slurm.

Apakah ada hal lain yang ingin Anda tanyakan mengenai penggunaan Job Composer atau terminal Slurm?"
Bagaimana langkah lengkap membuat conda env baru dan modul pyload dari awal?,"Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami sangat senang dapat membantu Anda dalam membuat lingkungan komputasi Python yang optimal. Berikut adalah langkah-langkah lengkap untuk membuat Conda Environment baru dan modul `pyl` dari awal sesuai dengan panduan resmi sistem:

1.  Buka terminal ALELEON melalui opsi **Login SSH** atau masuk ke **[ EFIRO Web Service ]**, lalu pilih menu **Clusters > Aleleon Shell Access**.
2.  Pilih dan aktifkan modul Lmod `conda` yang diinginkan; tim admin menyarankan versi terbaru **Anaconda3/2025.06-1** (Python 3.13.4) atau **Anaconda3/2024.06-1** (Python 3.12.4), namun harap diingat bahwa versi **Anaconda3/2024.06-1** memiliki banyak laporan bug sehingga direkomendasikan untuk dihindari atau dihapus jika sudah terlanjur dibuat. Perintah aktivasi modul adalah `$ ml Anaconda3/2025.06-1`.
3.  Buat Conda Environment baru dengan format perintah `$ conda create -n [nama-env] python=[versi-python]`, misalnya untuk nama ""skripsi"" dengan Python 3.12 menggunakan perintah `$ conda create -n skripsi python=3.12`. Pastikan Anda mendefinisikan versi Python secara spesifik untuk isolasi site-packages.
4.  Aktifkan Conda Environment yang baru dibuat tersebut dengan perintah `$ source activate [nama-env]`.
5.  Setelah environment aktif (ditandai dengan `(env)` pada prompt), buat modul `pyl` untuk aktivasi otomatis di sesi berikutnya dengan menjalankan perintah `$ pyl mod`, kemudian ikuti alur script yang muncul dengan memilih menu no.1.

Apakah ada hal lain yang ingin Anda tanyakan mengenai konfigurasi ini?"
Apa saja status job di squeue dan artinya masing-masing?,"Selamat pagi! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami sangat senang dapat membantu Anda.

Berikut adalah daftar status job (ST/STATE) yang ditampilkan pada perintah `squeue` beserta artinya:

1. Tidak ada di squeue - job bersangkutan telah selesai.
2. PD (PENDING) - job mengantri dan belum jalan.
3. R (RUN) - job sedang berjalan.
4. CG (COMPLETING) - job selesai dan dalam proses clean-up.
5. CA (CANCELED) - job dibatalkan oleh user.
6. PR (PREEMPTED) - job dibatalkan oleh tim admin, dengan notifikasi dan alasan dikabarkan via email support.
7. S (SUSPENDED) - job ditahan oleh tim admin, dengan notifikasi dan alasan dikabarkan via email support.

Apakah ada hal lain yang ingin Anda tanyakan mengenai penggunaan Slurm atau sistem HPC lainnya?"
Bagaimana cara mengisi formulir Jupyter di EWS untuk conda env user?,"Selamat pagi! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Saya sangat senang dapat membantu Anda mengenai cara mengisi formulir Jupyter di EWS untuk Conda Environment (conda env) user.

Berikut adalah langkah-langkah lengkap untuk mengisi formulir sesi interaktif JupyterLab berdasarkan panduan sistem:

1.  Login ke **EFIRO Web Service**.
2.  Buka menu **Interactive Apps > Jupyter** dan isi formulir dengan detail berikut:
    *   **Number of CPU threads**: Masukkan jumlah alokasi core CPU yang dibutuhkan.
    *   **Use GPU for the job**: Pilih **no** jika tanpa GPU atau **yes** jika membutuhkan 1x RTX 3090.
    *   **Number of hours**: Masukkan reservasi waktu sesi Jupyter, yang ditentukan oleh pilihan jumlah CPU, GPU, dan sisa Core Hour Anda.
        *   Untuk mengetahui rentang waktu yang tersedia, buka menu **Clusters > Aleleon Shell Access**, lalu jalankan perintah `sausage`. Pada menu `slimit`, pilih job type **Interactive Apps**.
    *   **Choose package to run**: Pilih **User provided**.
    *   **Choose how to launch Jupyter**: Pilih **Anaconda / Mamba**.
    *   **Choose Anaconda/Mamba version**: Pilih versi Anaconda atau Mamba yang digunakan untuk membuat conda env user Anda.
    *   **User provided Conda/Mamba environment**: Masukkan folder conda env user. Cari dan muat path-nya dengan tombol **[Select Path]**, biasanya berlokasi di `.conda/envs`.
        *   *Tips*: Untuk membantu pengisian dua pertanyaan terakhir (versi dan nama env), buka menu **Clusters > Aleleon Shell Access**, lihat info modul pyl user dengan perintah `$ pyl info [nama-modul]`, lalu gunakan informasi tersebut untuk memilih versi dan nama env.
3.  Klik tombol **[Launch]**.
4.  User akan diarahkan ke halaman **My Interactive Sessions**. Tunggu hingga status berubah menjadi **Running**.
5.  Jika status sudah **Running**, klik tombol **[Connect to Jupyter]**. Sistem mulai menghitung Core Hour saat ini.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan Jupyter atau komputasi lainnya?"
